Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Port Huron,Michigan,3802,US-Canada Border,Mar 2025,Bus Passengers,1366,42.999,-82.424,POINT (-82.423611 42.998611)
Lancaster,Minnesota,3430,US-Canada Border,Mar 2025,Personal Vehicles,959,49.0,-96.801,POINT (-96.800527 49.000194)
Blaine,Washington,3004,US-Canada Border,Mar 2025,Train Passengers,6784,48.994,-122.749,POINT (-122.748884 48.994045)
Jackman,Maine,104,US-Canada Border,Mar 2025,Rail Containers Loaded,2644,45.806,-70.397,POINT (-70.396722 45.805661)
Baudette,Minnesota,3424,US-Canada Border,Mar 2025,Truck Containers Empty,355,48.719,-94.59,POINT (-94.590467 48.719109)
Hannah,North Dakota,3408,US-Canada Border,Mar 2025,Trucks,13,49.0,-98.694,POINT (-98.693777 49.000138)
Derby Line,Vermont,209,US-Canada Border,Mar 2025,Truck Containers Loaded,10959,45.006,-72.099,POINT (-72.099279 45.005739)
Sumas,Washington,3009,US-Canada Border,Mar 2025,Truck Containers Loaded,15593,49.002,-122.265,POINT (-122.264805 49.002388)
Lukeville,Arizona,2602,US-Mexico Border,Mar 2025,Personal Vehicle Passengers,86617,31.88,-112.817,POINT (-112.817077 31.880195)
Naco,Arizona,2603,US-Mexico Border,Mar 2025,Truck Containers Loaded,106,31.334,-109.948,POINT (-109.948413 31.334084)
Eagle Pass,Texas,2303,US-Mexico Border,Mar 2025,Bus Passengers,12355,28.705,-100.512,POINT (-100.511977 28.705483)
Bridgewater,Maine,127,US-Canada Border,Mar 2025,Pedestrians,1,46.45,-67.785,POINT (-67.78484 46.450335)
Champlain Rouses Point,New York,712,US-Canada Border,Mar 2025,Pedestrians,23,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Sherwood,North Dakota,3414,US-Canada Border,Mar 2025,Trucks,356,48.999,-101.628,POINT (-101.627527 48.999305)
Nogales,Arizona,2604,US-Mexico Border,Mar 2025,Bus Passengers,18276,31.333,-110.943,POINT (-110.942516 31.332839)
Douglas,Arizona,2601,US-Mexico Border,Mar 2025,Bus Passengers,326,31.334,-109.56,POINT (-109.560344 31.334043)
Danville,Washington,3012,US-Canada Border,Mar 2025,Personal Vehicles,1166,49.0,-118.504,POINT (-118.503722 49.000083)
Wildhorse,Montana,3323,US-Canada Border,Mar 2025,Truck Containers Empty,15,48.999,-110.215,POINT (-110.215083 48.999361)
Northgate,North Dakota,3406,US-Canada Border,Mar 2025,Rail Containers Loaded,493,48.999,-102.275,POINT (-102.27475 48.998833)
Baudette,Minnesota,3424,US-Canada Border,Mar 2025,Pedestrians,4,48.719,-94.59,POINT (-94.590467 48.719109)
Alexandria Bay,New York,708,US-Canada Border,Mar 2025,Personal Vehicles,25738,44.347,-75.984,POINT (-75.983592 44.347229)
Buffalo Niagara Falls,New York,901,US-Canada Border,Mar 2025,Rail Containers Loaded,8806,43.095,-79.056,POINT (-79.055847 43.09549)
Roma,Texas,2310,US-Mexico Border,Mar 2025,Truck Containers Empty,813,26.404,-99.019,POINT (-99.018981 26.403928)
International Falls,Minnesota,3604,US-Canada Border,Mar 2025,Pedestrians,341,48.608,-93.401,POINT (-93.401355 48.6078)
Champlain Rouses Point,New York,712,US-Canada Border,Mar 2025,Train Passengers,2400,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Bridgewater,Maine,127,US-Canada Border,Mar 2025,Truck Containers Empty,233,46.45,-67.785,POINT (-67.78484 46.450335)
Metaline Falls,Washington,3025,US-Canada Border,Mar 2025,Truck Containers Empty,574,49.0,-117.299,POINT (-117.299444 48.999972)
Fort Kent,Maine,110,US-Canada Border,Mar 2025,Trucks,312,47.249,-68.604,POINT (-68.603918 47.249206)
Frontier,Washington,3020,US-Canada Border,Mar 2025,Truck Containers Loaded,1514,49.0,-117.832,POINT (-117.831527 49.0005)
